Name,Ascent
Ben Lomond,20594
Ben Nevis,17938
Ben Lawers,16094
Schiehallion,15972
Beinn Ghlas,15675
Ben Vorlich (Loch Earn),15047
Ben Chonzie,13484
Beinn Narnain,12796
Cairn Gorm,12279
Beinn Ime,11993
Mayar,11987
Driesh,11621
The Cairnwell,11302
Lochnagar,11217
Càrn Aosda,11215
Meall nan Tarmachan,10873
Stuc a' Chroin,10852
Ben Vorlich (Loch Lomond),10721
Ben Vane,10496
Ben Macdui,10464
Càrn a' Gheoidh,10282
Glas Maol,10127
Mount Keen,10016
Stob Dearg (Buachaille Etive Mòr),9904
Ben More,9725
Càrn an Tuirc,9468
An Caisteal,9463
Cairn of Claise,9398
Creag Leacach,9210
Stob Dubh (Buachaille Etive Beag),9186
Stob Coire Raineach (Buachaille Etive Beag),8986
Stob Binnein,8902
Càrn Gorm,8784
Beinn a' Chroin,8769
Meall Garbh (Càrn Mairg),8571
Meall Corranaich,8495
Meall Garbh (Ben Lawers),8488
Càrn Mairg,8435
Broad Cairn,8261
Beinn Dorain,8250
Creag Mhòr (Meall na Aighean),8238
Ben Lui,8128
An Stuc,8087
Meall Greigh,7967
Stob na Broige (Buachaille Etive Mòr),7959
Bidean nam Bian,7862
Meall a' Choire Leith,7778
Cruach Ardrain,7777
Càrn Liath (Beinn a' Ghlò),7762
Càrn an t-Sagairt Mòr,7727
Cairn Bannoch,7698
Càrn a' Choire Bhoidheach,7644
Beinn Tulaichean,7543
Beinn an Dothaidh,7510
Beinn Chabhair,7502
Geal-chàrn (Drumochter),7492
A' Mharconaich,7335
Tolmount,7295
Tom Buidhe,7174
Ben Cruachan,7114
Ben Wyvis,7079
Bràigh Coire Chruinn-bhalgain,7036
Sgor Gaoith,6865
Beinn a' Chleibh,6701
Càrn nan Gabhar,6618
Càrn Mòr Dearg,6590
Bynack More,6578
Sgorr nam Fiannaidh (Aonach Eagach),6525
Stob Coire Sgreamhach,6518
Meall Dearg (Aonach Eagach),6426
Am Bodach,6347
Beinn Dubhchraig,6334
Meall Buidhe (Glen Lyon),6324
Stuchd an Lochain,6244
Beinn Udlamain,6239
Sgairneach Mhòr,6178
Meall Ghaordaidh,6167
Stob Coire a' Chairn,6161
Stob Daimh,6153
An Gearanach,6102
Ben Oss,6094
Braeriach,6047
Ben Challum,6034
Sgùrr a' Mhaim,6010
Meall a'Bhuiridh,5993
Meall Chuaich,5936
